OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,Lifespan,Adaptability,Size
Transfer,SCRP,Cat,Intact Female,150,Domestic Shorthair,Torbie,6205,5,Medium
Adoption,Foster,Cat,Neutered Male,60,Domestic Shorthair,Black Tabby/White,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,2555,Chihuahua Shorthair,Brown/White,6570,5,Small
Adoption,Foster,Cat,Neutered Male,1460,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair,Tortie/Calico,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,180,Border Collie,Black/White,5475,5,Medium
Adoption,Unknown,Dog,Intact Female,150,Labrador Retriever,Black/White,4745,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,2920,Maltese,White,6570,5,Small
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,30,Domestic Shorthair,Blue Tabby/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,150,Labrador Retriever,White,4745,5,Medium
Transfer,Partner,Cat,Intact Male,30,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,SCRP,Cat,Intact Male,120,Domestic Shorthair,Blue Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Chihuahua Shorthair,White/Tan,6570,5,Small
Adoption,Unknown,Dog,Neutered Male,730,Labrador Retriever,Black/Brown,4745,5,Medium
Transfer,Partner,Cat,Spayed Female,365,Domestic Shorthair,Tortie,6205,5,Medium
Adoption,Foster,Dog,Neutered Male,60,Dachshund,Tricolor,5110,5,Small
Transfer,Partner,Cat,Neutered Male,60,Domestic Shorthair,White/Black,6205,5,Medium
Adoption,Unknown,Cat,Intact Female,60,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,30,Plott Hound,Black/Brown Brindle,5110,3,Medium
Return_to_owner,Unknown,Dog,Spayed Female,2555,Chihuahua Shorthair,White/Tan,6570,5,Small
Transfer,Partner,Cat,Intact Male,28,Domestic Shorthair,Cream Tabby/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1460,Siberian Husky,White/Gray,5110,5,Medium
Transfer,Partner,Dog,Spayed Female,730,Australian Cattle Dog,Tan/White,5475,3,Medium
Return_to_owner,Unknown,Dog,Spayed Female,365,Pointer,White/Black,5475,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,730,Pit Bull,Brown Brindle/White,5475,3,Large
Transfer,Partner,Cat,Intact Female,28,Domestic Medium Hair,Brown Tabby,6205,5,Medium
Transfer,Partner,Cat,Intact Female,365,Domestic Shorthair,Black/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,730,Yorkshire Terrier,Tan/Silver,5840,5,Small
Transfer,SCRP,Cat,Intact Male,30,Domestic Shorthair,Orange Tabby,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,1460,German Shepherd,White,4380,5,Medium to Large
Adoption,Unknown,Cat,Spayed Female,120,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,2190,Catahoula,White/Tan,5110,3,Large
Adoption,Unknown,Dog,Spayed Female,270,Miniature Poodle,Black/White,4745,5,Small
Adoption,Unknown,Dog,Spayed Female,1095,Jack Russell Terrier,Red,5840,5,Small
Adoption,Unknown,Cat,Spayed Female,240,Domestic Shorthair,Torbie,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,30,Australian Cattle Dog,Red Tick/Black,5475,3,Medium
Transfer,Partner,Cat,Neutered Male,365,Domestic Shorthair,White/Cream Tabby,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,365,Catahoula,Blue Merle,5110,3,Large
Adoption,Unknown,Dog,Neutered Male,365,Labrador Retriever,Black/White,4745,5,Medium
Adoption,Foster,Dog,Neutered Male,90,Labrador Retriever,Yellow,4745,5,Medium
Return_to_owner,Unknown,Dog,Intact Male,2190,Chihuahua Shorthair,Chocolate/Tan,6570,5,Small
Transfer,SCRP,Cat,Unknown,365,Domestic Longhair,Black,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,730,Pit Bull,Tan/White,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,1825,Dachshund Longhair,Tan/White,5110,5,Small
Euthanasia,Suffering,Cat,Neutered Male,365,Domestic Longhair,Orange Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,730,German Shepherd,Sable,4380,5,Medium to Large
Adoption,Unknown,Dog,Neutered Male,2190,Labrador Retriever,Black/White,4745,5,Medium
Adoption,Unknown,Cat,Neutered Male,90,Domestic Shorthair,Black,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,240,Doberman Pinsch,Tricolor,4380,5,Medium
Transfer,Partner,Cat,Neutered Male,365,Domestic Shorthair,Black,6205,5,Medium
Transfer,Partner,Cat,Intact Female,365,Domestic Shorthair,Black,6205,5,Medium
Transfer,Partner,Dog,Intact Female,21,Pointer,Chocolate/White,5475,5,Medium
Adoption,Unknown,Dog,Neutered Male,150,Dachshund,White/Brown,5110,5,Small
Adoption,Unknown,Dog,Neutered Male,730,Miniature Poodle,Black/White,4745,5,Small
Adoption,Foster,Dog,Spayed Female,730,Whippet,Brown Brindle/White,5475,5,Medium
Return_to_owner,Unknown,Dog,Intact Male,730,Australian Shepherd,Brown Merle/White,5475,5,Medium
Adoption,Unknown,Dog,Spayed Female,730,Labrador Retriever,Tan/White,4745,5,Medium
Transfer,Partner,Cat,Intact Female,21,Domestic Shorthair,Calico,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,365,Pit Bull,Brown Tiger/White,5475,3,Large
Transfer,SCRP,Cat,Intact Male,730,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Transfer,Partner,Cat,Intact Male,28,Domestic Shorthair,Brown Tabby,6205,5,Medium
Transfer,Partner,Dog,Neutered Male,1460,Chihuahua Shorthair,White/Brown,6570,5,Small
Transfer,Partner,Cat,Intact Male,21,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Foster,Cat,Intact Male,60,Domestic Shorthair,Black,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,365,Rat Terrier,White/Black,6570,5,Small
Adoption,Foster,Dog,Spayed Female,60,English Pointer,Brown/White,5475,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Miniature Schnauzer,Black/White,5475,5,Small
Adoption,Unknown,Dog,Spayed Female,1095,Cairn Terrier,Buff,5475,3,Small
Euthanasia,Aggressive,Dog,Neutered Male,3285,Labrador Retriever,Black,4745,5,Medium
Return_to_owner,Unknown,Cat,Spayed Female,730,Domestic Shorthair,White/Black,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,1825,Great Dane,Black/White,2920,3,Giant
Return_to_owner,Unknown,Dog,Intact Male,730,Chihuahua Shorthair,Black/White,6570,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,730,Chesa Bay Retr,Brown,4745,3,Large
Return_to_owner,Unknown,Dog,Neutered Male,2555,German Shepherd,Brown/Black,4380,5,Medium to Large
Transfer,SCRP,Cat,Intact Female,365,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Cat,Spayed Female,2190,Domestic Shorthair,Black/White,6205,5,Medium
Adoption,Foster,Cat,Neutered Male,60,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,365,Chihuahua Shorthair,Tan/Black,6570,5,Small
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,2190,Plott Hound,Brown Brindle,5110,3,Medium
Transfer,Partner,Cat,Intact Male,60,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,730,Chihuahua Shorthair,Brown/Black,6570,5,Small
Adoption,Unknown,Cat,Neutered Male,2555,Siamese,Flame Point,5475,5,Medium
Adoption,Unknown,Cat,Spayed Female,90,Domestic Shorthair,Brown Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,1095,Chow Chow,Red,5110,2,Medium
Transfer,SCRP,Cat,Intact Female,730,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,2555,English Pointer,Liver/White,5475,5,Medium
Euthanasia,Suffering,Cat,Intact Male,30,Domestic Shorthair,White/Blue Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,730,Pit Bull,Brown/White,5475,3,Large
Return_to_owner,Unknown,Dog,Intact Female,150,Boxer,Black/White,4380,4,Medium
Transfer,Partner,Dog,Neutered Male,1460,Basset Hound,Black/White,5475,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,730,Labrador Retriever,Buff,4745,5,Medium
Transfer,Partner,Dog,Spayed Female,2555,Airedale Terrier,Tricolor,4745,5,Medium
Adoption,Unknown,Dog,Neutered Male,365,Labrador Retriever,Brown,4745,5,Medium
Transfer,Partner,Cat,Neutered Male,30,Domestic Shorthair,Orange Tabby/White,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,30,Beagle,Black/Brown,5475,5,Small
Adoption,Unknown,Cat,Neutered Male,60,Manx,White/Black,5110,5,Medium to Large
Transfer,SCRP,Cat,Intact Female,1095,Domestic Shorthair,Blue,6205,5,Medium
Transfer,Partner,Dog,Spayed Female,1460,Chihuahua Shorthair,Tan/White,6570,5,Small
Adoption,Unknown,Dog,Spayed Female,365,Pit Bull,Black/White,5475,3,Large
Adoption,Unknown,Dog,Spayed Female,730,Flat Coat Retriever,Black/White,4745,5,Medium to Large
Transfer,Partner,Dog,Spayed Female,365,Cocker Spaniel,Buff,5110,5,Medium
Adoption,Unknown,Cat,Neutered Male,60,Domestic Shorthair,Brown Tabby,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,365,Chihuahua Shorthair,Tan,6570,5,Small
Adoption,Foster,Cat,Spayed Female,730,Domestic Longhair,Brown Tabby/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Spayed Female,2555,Rat Terrier,White/Black,6570,5,Small
Adoption,Unknown,Dog,Neutered Male,365,Border Terrier,Tan/Black,5475,5,Small
Transfer,Partner,Dog,Neutered Male,1825,Pit Bull,Brown Brindle/White,5475,3,Large
Return_to_owner,Unknown,Dog,Spayed Female,2190,Chihuahua Shorthair,Black/Gray,6570,5,Small
Transfer,Partner,Cat,Unknown,7,Domestic Shorthair,Brown Tabby,6205,5,Medium
Euthanasia,Behavior,Dog,Spayed Female,2555,Pit Bull,Tan/White,5475,3,Large
Adoption,Unknown,Dog,Neutered Male,365,Chihuahua Longhair,Black,6570,5,Small
Adoption,Unknown,Dog,Neutered Male,365,Jack Russell Terrier,White/Brown,5840,5,Small
Transfer,Partner,Cat,Intact Female,14,Domestic Shorthair,Orange Tabby,6205,5,Medium
Transfer,SCRP,Cat,Intact Female,365,Domestic Shorthair,Orange Tabby,6205,5,Medium
Return_to_owner,Unknown,Dog,Neutered Male,1825,German Shepherd,Black/Brown,4380,5,Medium to Large
Return_to_owner,Unknown,Dog,Spayed Female,730,Rottweiler,Black/Tan,365,3,Medium to Large
Adoption,Unknown,Dog,Neutered Male,30,Siberian Husky,White/Cream,5110,5,Medium
Transfer,Partner,Cat,Intact Female,90,Domestic Shorthair,Black,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,270,Cardigan Welsh Corgi,Fawn/White,5110,5,Medium
Transfer,Partner,Cat,Intact Female,30,Domestic Shorthair,Black/White,6205,5,Medium
Transfer,Partner,Cat,Unknown,0,Domestic Shorthair,Blue,6205,5,Medium
Transfer,SCRP,Cat,Spayed Female,1825,Domestic Shorthair,Calico,6205,5,Medium
Adoption,Unknown,Dog,Spayed Female,240,Chihuahua Shorthair,Chocolate/White,6570,5,Small
Transfer,Partner,Dog,Intact Male,365,Cairn Terrier,Cream,5475,3,Small
Adoption,Foster,Cat,Spayed Female,60,Domestic Shorthair,Orange Tabby,6205,5,Medium
Return_to_owner,Unknown,Cat,Neutered Male,90,Domestic Shorthair,Black/White,6205,5,Medium
Return_to_owner,Unknown,Dog,Intact Male,365,Chihuahua Shorthair,Chocolate/White,6570,5,Small
Return_to_owner,Unknown,Dog,Neutered Male,2555,Labrador Retriever,Chocolate,4745,5,Medium
Adoption,Unknown,Dog,Neutered Male,730,Shih Tzu,Gray/White,5110,5,Small
Transfer,Partner,Dog,Spayed Female,180,Plott Hound,Brown Brindle,5110,3,Medium
Adoption,Unknown,Dog,Neutered Male,30,Australian Shepherd,Tan/White,5475,5,Medium
Adoption,Unknown,Dog,Neutered Male,1095,Chihuahua Shorthair,Tan/White,6570,5,Small
Transfer,Partner,Cat,Intact Female,60,Domestic Longhair,Black/White,6205,5,Medium
Adoption,Unknown,Dog,Neutered Male,365,Labrador Retriever,Black/White,4745,5,Medium
