AnimalType,Breed,Lifespan,Adaptability,Size
Dog,Swedish Vallhund,5110,5,Medium
Dog,Papillon,5840,5,Small
Dog,West Highland,5840,4,Small
Dog,Shiba Inu,5475,4,Medium
Dog,Beauceron,4380,3,Large
Dog,Pekingese,5475,5,Small
Dog,Schipperke,5475,5,Small
Dog,Collie Rough,,,
Dog,Staffordshire,5110,3,Medium
Dog,Silky Terrier,5110,3,Small
Dog,Bruss Griffon,,,
Dog,Pug,5475,5,Small
Dog,Boerboel,4380,3,Large
Dog,Golden Retriever,4745,5,Medium to Large sized
Dog,Bichon Frise,5475,5,Small
Dog,Manchester Terrier,5840,5,Small
Dog,English Setter,4380,3,Large
Dog,Pomeranian,5475,5,Small
Dog,Greater Swiss Mountain Dog,4380,3,Large
Dog,Bull Terrier,4380,4,Medium
Dog,Pembroke Welsh Corgi,5110,5,Small
Dog,Toy Poodle,,,
Dog,Bullmastiff,0,3,Large
Dog,Smooth Fox Terrier,5110,5,Small
Dog,Old English Bulldog,,,
Dog,Ibizan Hound,5110,4,Large
Dog,Boston Terrier,5475,5,Small
Dog,Brittany,,,
Dog,Newfoundland,730,4,Large to Giant
Dog,Parson Russell Terrier,5475,5,Medium
Dog,Carolina Dog,,,
Dog,Mastiff,,,
Dog,St. Bernard Rough Coat,,,
Dog,German Shorthair Pointer,,,
Dog,Basenji,4380,2,Medium
Dog,Bloodhound,0,3,Large
Dog,Affenpinscher,5110,5,Small
Dog,Norwich Terrier,5475,5,Small
Dog,Greyhound,4745,5,Giant
Dog,Boykin Span,5840,5,Medium
Dog,Weimaraner,4380,5,Medium to Large
Dog,Skye Terrier,5110,5,Medium
Dog,Schnauzer Giant,,,
Dog,Alaskan Husky,,,
Dog,Belgian Malinois,5110,5,Medium to Large
Dog,American Eskimo,5110,5,Small to Medium
Dog,Italian Greyhound,5475,5,Small
Dog,Irish Wolfhound,0,4,Giant
Dog,Wire Hair Fox Terrier,,,
Dog,Landseer,,,
Dog,St. Bernard Smooth Coat,,,
Dog,Standard Schnauzer,5475,3,Medium
Dog,English Springer Spaniel,5110,5,Medium
Dog,Alaskan Malamute,4380,3,Large
Dog,French Bulldog,365,5,Small
Dog,Cavalier Span,,,
Dog,Soft Coated Wheaten Terrier,5475,5,Medium
Dog,Kuvasz,4380,3,Giant
Dog,American Foxhound,4380,5,Large
Dog,Podengo Pequeno,5110,3,Small
Dog,Leonberger,0,3,Giant
Dog,English Shepherd,,,
Dog,Standard Poodle,,,
Dog,Dutch Shepherd,,,
Dog,Dalmatian,5110,5,Large
Dog,English Coonhound,4380,4,Large
Dog,Old English Sheepdog,4380,3,Large
Dog,Jindo,,,
Dog,Welsh Terrier,5110,5,Small
Dog,Finnish Spitz,5475,3,Medium
Dog,Field Spaniel,4380,5,Medium
Dog,Keeshond,5110,5,Medium
Dog,Irish Setter,5110,5,Large
Dog,Picardy Sheepdog,,,
Dog,Patterdale Terr,,,
Dog,German Wirehaired Pointer,5110,5,Medium
Dog,Havanese,5475,5,Small
Dog,Unknown,,,
Dog,Black,4015,3,Large to Giant
Dog,Bulldog,0,5,Medium
Dog,Pharaoh Hound,5110,5,Medium
Dog,Bearded Collie,5110,5,Medium
Dog,Toy Fox Terrier,5110,5,Small
Dog,Canaan Dog,5110,5,Medium
Dog,Irish Terrier,5475,5,Medium
Dog,Treeing Tennesse Brindle,,,
Dog,Tibetan Spaniel,5475,5,Small
Dog,Cane Corso,4015,2,Large
Dog,Pbgv,,,
Dog,Glen Of Imaal,,,
Dog,Australian Terrier,5475,5,small
Dog,Presa Canario,,,
Dog,Chinese Crested,5110,3,Small
Dog,Neapolitan Mastiff,0,2,Large to Giant
Dog,Bedlington Terr,5840,4,Medium
Dog,Nova Scotia Duck Tolling Retriever,5110,5,Medium
Dog,Wirehaired Pointing Griffon,5110,3,Medium
Dog,Feist,,,
Dog,Belgian Sheepdog,,,
Dog,Samoyed,5110,4,Medium
Dog,Otterhound,4380,3,Large
Dog,Welsh Springer Spaniel,5475,5,Medium
Dog,Entlebucher,5475,3,Medium
Dog,Bull Terrier Miniature,,,
Dog,Dogue De Bordeaux,,,
Dog,Bluetick Coonhound,4380,5,Large
Dog,Sealyham Terr,5840,5,Small
Dog,Japanese Chin,5110,5,Small
Dog,Saluki,5110,5,Large
Dog,Hovawart,5110,5,Medium to Large
Dog,Norwegian Elkhound,4380,5,Medium
Dog,German Pinscher,5475,3,Medium
Dog,Port Water Dog,,,
Dog,Treeing Cur,,,
Dog,Belgian Tervuren,4380,5,Medium
Dog,Spanish Mastiff,,,
Dog,Lowchen,5475,5,Small
Dog,Swiss Hound,,,
Dog,English Cocker Spaniel,5110,5,Medium
Dog,Spinone Italiano,5110,3,Medium
