OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,Lifespan,Adaptability,Size
Adoption,Dog,Spayed Female,12.166666666666666,Chihuahua Shorthair,Tan,219.0,5,Small
Transfer,Dog,Intact Male,3.0,Chihuahua Shorthair,Black/White,219.0,5,Small
Transfer,Cat,Intact Female,1.0,Domestic Longhair,Calico,206.83333333333334,5,Medium
Return_to_owner,Dog,Spayed Female,36.5,Chihuahua Shorthair,Brown,219.0,5,Small
Return_to_owner,Dog,Neutered Male,60.833333333333336,Dachshund,Black,170.33333333333334,5,Small
Adoption,Dog,Neutered Male,97.33333333333333,Miniature Schnauzer,Black,182.5,5,Small
Adoption,Dog,Spayed Female,2.0,Labrador Retriever,Black/White,158.16666666666666,5,Medium
Euthanasia,Cat,Intact Female,85.16666666666667,Domestic Shorthair,Tortie,206.83333333333334,5,Medium
Adoption,Cat,Intact Female,2.0,Domestic Shorthair,Black,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,60.833333333333336,Pit Bull,Black,182.5,3,Large
Adoption,Dog,Neutered Male,12.166666666666666,Pit Bull,White/Brown,182.5,3,Large
Transfer,Cat,Intact Male,3.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Return_to_owner,Dog,Neutered Male,24.333333333333332,Chihuahua Shorthair,Brown/White,219.0,5,Small
Return_to_owner,Dog,Spayed Female,109.5,Labrador Retriever,Chocolate/White,158.16666666666666,5,Medium
Adoption,Dog,Spayed Female,36.5,Pit Bull,Red/White,182.5,3,Large
Return_to_owner,Cat,Spayed Female,36.5,Domestic Shorthair,Calico,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,12.166666666666666,Chihuahua Shorthair,Black/White,219.0,5,Small
Transfer,Dog,Spayed Female,24.333333333333332,Chihuahua Shorthair,Black/Tan,219.0,5,Small
Return_to_owner,Dog,Spayed Female,12.166666666666666,Pit Bull,Brown Brindle,182.5,3,Large
Transfer,Cat,Neutered Male,24.333333333333332,Siamese,Flame Point,182.5,5,Medium
Return_to_owner,Dog,Spayed Female,24.333333333333332,Tibetan Terrier,Brown,182.5,5,Medium
Transfer,Cat,Intact Female,24.333333333333332,Domestic Shorthair,Blue/White,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,1.0,Miniature Pinscher,Tricolor,182.5,5,Small
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Orange Tabby/White,206.83333333333334,5,Medium
Adoption,Cat,Neutered Male,1.0,Domestic Medium Hair,Cream Tabby,206.83333333333334,5,Medium
Transfer,Cat,Spayed Female,24.333333333333332,Domestic Medium Hair,Brown Tabby/White,206.83333333333334,5,Medium
Adoption,Cat,Spayed Female,2.0,Domestic Medium Hair,Calico,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,6.0,Labrador Retriever,Yellow,158.16666666666666,5,Medium
Adoption,Cat,Spayed Female,2.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,12.166666666666666,Dachshund,Tan,170.33333333333334,5,Small
Transfer,Dog,Intact Female,6.0,Dachshund,Brown/White,170.33333333333334,5,Small
Adoption,Cat,Spayed Female,12.166666666666666,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Transfer,Cat,Intact Male,0.7,Domestic Shorthair,Calico,206.83333333333334,5,Medium
Adoption,Cat,Neutered Male,24.333333333333332,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,1.0,Blue Lacy,Blue/White,182.5,4,Medium to Large
Transfer,Dog,Neutered Male,3.0,Rat Terrier,Tricolor,219.0,5,Small
Return_to_owner,Dog,Spayed Female,24.333333333333332,Dachshund Longhair,Brown,170.33333333333334,5,Small
Transfer,Dog,Neutered Male,24.333333333333332,Pit Bull,Red,182.5,3,Large
Adoption,Dog,Neutered Male,24.333333333333332,Pit Bull,Brown/White,182.5,3,Large
Adoption,Cat,Spayed Female,4.0,Domestic Longhair,Calico,206.83333333333334,5,Medium
Transfer,Dog,Intact Female,4.0,Dachshund,Red,170.33333333333334,5,Small
Transfer,Cat,Intact Female,5.0,Domestic Shorthair,Torbie,206.83333333333334,5,Medium
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Black Tabby/White,206.83333333333334,5,Medium
Transfer,Dog,Neutered Male,85.16666666666667,Chihuahua Shorthair,Brown/White,219.0,5,Small
Adoption,Cat,Neutered Male,48.666666666666664,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Transfer,Cat,Intact Female,0.7,Domestic Shorthair,Tortie/Calico,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,6.0,Border Collie,Black/White,182.5,5,Medium
Adoption,Dog,Intact Female,5.0,Labrador Retriever,Black/White,158.16666666666666,5,Medium
Return_to_owner,Dog,Spayed Female,97.33333333333333,Maltese,White,219.0,5,Small
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Black,206.83333333333334,5,Medium
Adoption,Cat,Spayed Female,1.0,Domestic Shorthair,Blue Tabby/White,206.83333333333334,5,Medium
Return_to_owner,Dog,Spayed Female,5.0,Labrador Retriever,White,158.16666666666666,5,Medium
Transfer,Cat,Intact Male,1.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Transfer,Cat,Intact Male,4.0,Domestic Shorthair,Blue Tabby,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,12.166666666666666,Chihuahua Shorthair,White/Tan,219.0,5,Small
Adoption,Dog,Neutered Male,24.333333333333332,Labrador Retriever,Black/Brown,158.16666666666666,5,Medium
Transfer,Cat,Spayed Female,12.166666666666666,Domestic Shorthair,Tortie,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,2.0,Dachshund,Tricolor,170.33333333333334,5,Small
Transfer,Cat,Neutered Male,2.0,Domestic Shorthair,White/Black,206.83333333333334,5,Medium
Adoption,Cat,Intact Female,2.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,1.0,Plott Hound,Black/Brown Brindle,170.33333333333334,3,Medium
Return_to_owner,Dog,Spayed Female,85.16666666666667,Chihuahua Shorthair,White/Tan,219.0,5,Small
Transfer,Cat,Intact Male,0.13333333333333333,Domestic Shorthair,Cream Tabby/White,206.83333333333334,5,Medium
Return_to_owner,Dog,Neutered Male,48.666666666666664,Siberian Husky,White/Gray,170.33333333333334,5,Medium
Transfer,Dog,Spayed Female,24.333333333333332,Australian Cattle Dog,Tan/White,182.5,3,Medium
Return_to_owner,Dog,Spayed Female,12.166666666666666,Pointer,White/Black,182.5,5,Medium
Return_to_owner,Dog,Neutered Male,24.333333333333332,Pit Bull,Brown Brindle/White,182.5,3,Large
Transfer,Cat,Intact Female,0.9333333333333333,Domestic Medium Hair,Brown Tabby,206.83333333333334,5,Medium
Transfer,Cat,Intact Female,12.166666666666666,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,24.333333333333332,Yorkshire Terrier,Tan/Silver,194.66666666666666,5,Small
Transfer,Cat,Intact Male,1.0,Domestic Shorthair,Orange Tabby,206.83333333333334,5,Medium
Transfer,Dog,Spayed Female,48.666666666666664,German Shepherd,White,146.0,5,Medium to Large
Adoption,Cat,Spayed Female,4.0,Domestic Shorthair,Brown Tabby/White,206.83333333333334,5,Medium
Transfer,Dog,Spayed Female,73.0,Catahoula,White/Tan,170.33333333333334,3,Large
Adoption,Dog,Spayed Female,9.0,Miniature Poodle,Black/White,158.16666666666666,5,Small
Adoption,Dog,Spayed Female,36.5,Jack Russell Terrier,Red,194.66666666666666,5,Small
Adoption,Cat,Spayed Female,8.0,Domestic Shorthair,Torbie,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,1.0,Australian Cattle Dog,Red Tick/Black,182.5,3,Medium
Transfer,Cat,Neutered Male,12.166666666666666,Domestic Shorthair,White/Cream Tabby,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,12.166666666666666,Catahoula,Blue Merle,170.33333333333334,3,Large
Adoption,Dog,Neutered Male,12.166666666666666,Labrador Retriever,Black/White,158.16666666666666,5,Medium
Adoption,Dog,Neutered Male,3.0,Labrador Retriever,Yellow,158.16666666666666,5,Medium
Return_to_owner,Dog,Intact Male,73.0,Chihuahua Shorthair,Chocolate/Tan,219.0,5,Small
Return_to_owner,Dog,Neutered Male,24.333333333333332,Pit Bull,Tan/White,182.5,3,Large
Adoption,Dog,Spayed Female,60.833333333333336,Dachshund Longhair,Tan/White,170.33333333333334,5,Small
Euthanasia,Cat,Neutered Male,12.166666666666666,Domestic Longhair,Orange Tabby/White,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,24.333333333333332,German Shepherd,Sable,146.0,5,Medium to Large
Adoption,Dog,Neutered Male,73.0,Labrador Retriever,Black/White,158.16666666666666,5,Medium
Adoption,Cat,Neutered Male,3.0,Domestic Shorthair,Black,206.83333333333334,5,Medium
Return_to_owner,Dog,Spayed Female,8.0,Doberman Pinsch,Tricolor,146.0,5,Medium
Transfer,Cat,Neutered Male,12.166666666666666,Domestic Shorthair,Black,206.83333333333334,5,Medium
Transfer,Cat,Intact Female,12.166666666666666,Domestic Shorthair,Black,206.83333333333334,5,Medium
Transfer,Dog,Intact Female,0.7,Pointer,Chocolate/White,182.5,5,Medium
Adoption,Dog,Neutered Male,5.0,Dachshund,White/Brown,170.33333333333334,5,Small
Adoption,Dog,Neutered Male,24.333333333333332,Miniature Poodle,Black/White,158.16666666666666,5,Small
Adoption,Dog,Spayed Female,24.333333333333332,Whippet,Brown Brindle/White,182.5,5,Medium
Return_to_owner,Dog,Intact Male,24.333333333333332,Australian Shepherd,Brown Merle/White,182.5,5,Medium
Adoption,Dog,Spayed Female,24.333333333333332,Labrador Retriever,Tan/White,158.16666666666666,5,Medium
Transfer,Cat,Intact Female,0.7,Domestic Shorthair,Calico,206.83333333333334,5,Medium
Transfer,Dog,Spayed Female,12.166666666666666,Pit Bull,Brown Tiger/White,182.5,3,Large
Transfer,Cat,Intact Male,24.333333333333332,Domestic Shorthair,Brown Tabby/White,206.83333333333334,5,Medium
Transfer,Cat,Intact Male,0.9333333333333333,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Transfer,Dog,Neutered Male,48.666666666666664,Chihuahua Shorthair,White/Brown,219.0,5,Small
Transfer,Cat,Intact Male,0.7,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Adoption,Cat,Intact Male,2.0,Domestic Shorthair,Black,206.83333333333334,5,Medium
Transfer,Dog,Spayed Female,12.166666666666666,Rat Terrier,White/Black,219.0,5,Small
Adoption,Dog,Spayed Female,2.0,English Pointer,Brown/White,182.5,5,Medium
Adoption,Dog,Spayed Female,12.166666666666666,Miniature Schnauzer,Black/White,182.5,5,Small
Adoption,Dog,Spayed Female,36.5,Cairn Terrier,Buff,182.5,3,Small
Euthanasia,Dog,Neutered Male,109.5,Labrador Retriever,Black,158.16666666666666,5,Medium
Return_to_owner,Cat,Spayed Female,24.333333333333332,Domestic Shorthair,White/Black,206.83333333333334,5,Medium
Transfer,Dog,Spayed Female,60.833333333333336,Great Dane,Black/White,97.33333333333333,3,Giant
Return_to_owner,Dog,Intact Male,24.333333333333332,Chihuahua Shorthair,Black/White,219.0,5,Small
Return_to_owner,Dog,Neutered Male,24.333333333333332,Chesa Bay Retr,Brown,158.16666666666666,3,Large
Return_to_owner,Dog,Neutered Male,85.16666666666667,German Shepherd,Brown/Black,146.0,5,Medium to Large
Transfer,Cat,Intact Female,12.166666666666666,Domestic Shorthair,Brown Tabby/White,206.83333333333334,5,Medium
Adoption,Cat,Spayed Female,73.0,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Orange Tabby/White,206.83333333333334,5,Medium
Return_to_owner,Dog,Spayed Female,12.166666666666666,Chihuahua Shorthair,Tan/Black,219.0,5,Small
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Orange Tabby/White,206.83333333333334,5,Medium
Return_to_owner,Dog,Spayed Female,73.0,Plott Hound,Brown Brindle,170.33333333333334,3,Medium
Transfer,Cat,Intact Male,2.0,Domestic Shorthair,Brown Tabby/White,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,24.333333333333332,Chihuahua Shorthair,Brown/Black,219.0,5,Small
Adoption,Cat,Neutered Male,85.16666666666667,Siamese,Flame Point,182.5,5,Medium
Adoption,Cat,Spayed Female,3.0,Domestic Shorthair,Brown Tabby/White,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,36.5,Chow Chow,Red,170.33333333333334,2,Medium
Transfer,Cat,Intact Female,24.333333333333332,Domestic Shorthair,Black,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,85.16666666666667,English Pointer,Liver/White,182.5,5,Medium
Euthanasia,Cat,Intact Male,1.0,Domestic Shorthair,White/Blue Tabby,206.83333333333334,5,Medium
Return_to_owner,Dog,Spayed Female,24.333333333333332,Pit Bull,Brown/White,182.5,3,Large
Return_to_owner,Dog,Intact Female,5.0,Boxer,Black/White,146.0,4,Medium
Transfer,Dog,Neutered Male,48.666666666666664,Basset Hound,Black/White,182.5,5,Medium
Return_to_owner,Dog,Neutered Male,24.333333333333332,Labrador Retriever,Buff,158.16666666666666,5,Medium
Transfer,Dog,Spayed Female,85.16666666666667,Airedale Terrier,Tricolor,158.16666666666666,5,Medium
Adoption,Dog,Neutered Male,12.166666666666666,Labrador Retriever,Brown,158.16666666666666,5,Medium
Transfer,Cat,Neutered Male,1.0,Domestic Shorthair,Orange Tabby/White,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,1.0,Beagle,Black/Brown,182.5,5,Small
Adoption,Cat,Neutered Male,2.0,Manx,White/Black,170.33333333333334,5,Medium to Large
Transfer,Cat,Intact Female,36.5,Domestic Shorthair,Blue,206.83333333333334,5,Medium
Transfer,Dog,Spayed Female,48.666666666666664,Chihuahua Shorthair,Tan/White,219.0,5,Small
Adoption,Dog,Spayed Female,12.166666666666666,Pit Bull,Black/White,182.5,3,Large
Adoption,Dog,Spayed Female,24.333333333333332,Flat Coat Retriever,Black/White,158.16666666666666,5,Medium to Large
Transfer,Dog,Spayed Female,12.166666666666666,Cocker Spaniel,Buff,170.33333333333334,5,Medium
Adoption,Cat,Neutered Male,2.0,Domestic Shorthair,Brown Tabby,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,12.166666666666666,Chihuahua Shorthair,Tan,219.0,5,Small
Adoption,Cat,Spayed Female,24.333333333333332,Domestic Longhair,Brown Tabby/White,206.83333333333334,5,Medium
Return_to_owner,Dog,Spayed Female,85.16666666666667,Rat Terrier,White/Black,219.0,5,Small
Adoption,Dog,Neutered Male,12.166666666666666,Border Terrier,Tan/Black,182.5,5,Small
Transfer,Dog,Neutered Male,60.833333333333336,Pit Bull,Brown Brindle/White,182.5,3,Large
Return_to_owner,Dog,Spayed Female,73.0,Chihuahua Shorthair,Black/Gray,219.0,5,Small
Euthanasia,Dog,Spayed Female,85.16666666666667,Pit Bull,Tan/White,182.5,3,Large
Adoption,Dog,Neutered Male,12.166666666666666,Chihuahua Longhair,Black,219.0,5,Small
Adoption,Dog,Neutered Male,12.166666666666666,Jack Russell Terrier,White/Brown,194.66666666666666,5,Small
Transfer,Cat,Intact Female,0.4666666666666667,Domestic Shorthair,Orange Tabby,206.83333333333334,5,Medium
Transfer,Cat,Intact Female,12.166666666666666,Domestic Shorthair,Orange Tabby,206.83333333333334,5,Medium
Return_to_owner,Dog,Neutered Male,60.833333333333336,German Shepherd,Black/Brown,146.0,5,Medium to Large
Return_to_owner,Dog,Spayed Female,24.333333333333332,Rottweiler,Black/Tan,12.166666666666666,3,Medium to Large
Adoption,Dog,Neutered Male,1.0,Siberian Husky,White/Cream,170.33333333333334,5,Medium
Transfer,Cat,Intact Female,3.0,Domestic Shorthair,Black,206.83333333333334,5,Medium
Adoption,Dog,Neutered Male,9.0,Cardigan Welsh Corgi,Fawn/White,170.33333333333334,5,Medium
Transfer,Cat,Intact Female,1.0,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Transfer,Cat,Spayed Female,60.833333333333336,Domestic Shorthair,Calico,206.83333333333334,5,Medium
Adoption,Dog,Spayed Female,8.0,Chihuahua Shorthair,Chocolate/White,219.0,5,Small
Transfer,Dog,Intact Male,12.166666666666666,Cairn Terrier,Cream,182.5,3,Small
Adoption,Cat,Spayed Female,2.0,Domestic Shorthair,Orange Tabby,206.83333333333334,5,Medium
Return_to_owner,Cat,Neutered Male,3.0,Domestic Shorthair,Black/White,206.83333333333334,5,Medium
Return_to_owner,Dog,Intact Male,12.166666666666666,Chihuahua Shorthair,Chocolate/White,219.0,5,Small
Return_to_owner,Dog,Neutered Male,85.16666666666667,Labrador Retriever,Chocolate,158.16666666666666,5,Medium
Adoption,Dog,Neutered Male,24.333333333333332,Shih Tzu,Gray/White,170.33333333333334,5,Small
