'Lifespan Interval',Breed,AnimalType,'Child Friendly',Grooming,Vocalization,'Puppy Price Interval','Shedding Level',isIntact,'AgeuponOutcome Interval','Health Issues',OutcomeType
4,Domestic,Cat,3,4,2,1,4,1,2,1,Return_to_owner
3,'Yorkshire Terrier',Dog,1,5,5,3,1,0,4,4,Return_to_owner
2,'Cardigan Welsh Corgi',Dog,5,3,4,4,4,0,3,2,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
4,Domestic,Cat,3,4,2,1,4,1,2,1,Euthanasia
2,'Chow Chow',Dog,2,5,3,3,4,0,1,3,Adoption
4,Domestic,Cat,3,4,2,1,4,0,3,1,Transfer
4,Chihuahua,Dog,1,1,5,3,1,0,2,4,Adoption
4,Domestic,Cat,3,4,2,1,4,1,3,1,Transfer
2,'Pit Bull',Dog,2,1,3,2,1,0,2,2,Euthanasia
2,Dachshund,Dog,2,2,4,2,3,0,2,3,Adoption
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
1,'Labrador Retriever',Dog,5,2,1,4,3,1,1,4,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
2,'Plott Hound',Dog,4,1,3,2,1,0,2,1,Adoption
1,Boxer,Dog,4,1,2,4,1,0,3,3,Adoption
3,'Lhasa Apso',Dog,5,5,5,2,4,0,4,2,Transfer
1,'German Shepherd',Dog,5,2,3,4,5,0,3,4,Euthanasia
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
3,Beagle,Dog,5,1,5,3,3,0,4,3,Adoption
3,'Border Collie',Dog,5,3,4,3,3,0,2,3,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
4,Domestic,Cat,3,4,2,1,4,1,3,1,Transfer
3,'Border Terrier',Dog,5,3,4,4,1,0,3,2,Adoption
4,Chihuahua,Dog,1,1,5,3,1,0,4,4,Adoption
1,Boxer,Dog,4,1,2,4,1,0,4,3,Transfer
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,0,4,1,Transfer
3,'Cairn Terrier',Dog,4,3,5,3,3,0,4,2,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
4,Chihuahua,Dog,1,1,5,3,1,0,3,4,Return_to_owner
1,'Dogo Argentino',Dog,3,1,2,4,3,0,3,3,Adoption
2,Dachshund,Dog,2,2,4,2,3,0,4,3,Return_to_owner
3,Beagle,Dog,5,1,5,3,3,0,4,3,Return_to_owner
4,Chihuahua,Dog,1,1,5,3,1,0,2,4,Euthanasia
2,'Pit Bull',Dog,2,1,3,2,1,0,3,2,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
2,'Pit Bull',Dog,2,1,3,2,1,1,2,2,Transfer
4,Domestic,Cat,3,4,2,1,4,1,4,1,Euthanasia
4,Chihuahua,Dog,1,1,5,3,1,0,2,4,Adoption
4,Chihuahua,Dog,1,1,5,3,1,1,1,4,Transfer
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Chihuahua,Dog,1,1,5,3,1,0,3,4,Return_to_owner
2,Dachshund,Dog,2,2,4,2,3,0,4,3,Return_to_owner
2,'Miniature Schnauzer',Dog,4,4,3,3,1,0,4,3,Adoption
1,'Labrador Retriever',Dog,5,2,1,4,3,0,1,4,Adoption
4,Domestic,Cat,3,4,2,1,4,1,4,1,Euthanasia
4,Domestic,Cat,3,4,2,1,4,1,1,1,Adoption
2,'Pit Bull',Dog,2,1,3,2,1,0,4,2,Adoption
2,'Pit Bull',Dog,2,1,3,2,1,0,2,2,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Chihuahua,Dog,1,1,5,3,1,0,3,4,Return_to_owner
1,'Labrador Retriever',Dog,5,2,1,4,3,0,4,4,Return_to_owner
2,'Pit Bull',Dog,2,1,3,2,1,0,3,2,Adoption
4,Domestic,Cat,3,4,2,1,4,0,3,1,Return_to_owner
4,Chihuahua,Dog,1,1,5,3,1,0,2,4,Adoption
4,Chihuahua,Dog,1,1,5,3,1,0,3,4,Transfer
2,'Pit Bull',Dog,2,1,3,2,1,0,2,2,Return_to_owner
3,Siamese,Cat,4,3,5,2,3,0,3,1,Transfer
3,'Tibetan Terrier',Dog,3,5,2,4,1,0,3,3,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,1,3,1,Transfer
3,'Miniature Pinscher',Dog,4,1,5,2,3,0,1,2,Adoption
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
4,Domestic,Cat,3,4,2,1,4,0,3,1,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
1,'Labrador Retriever',Dog,5,2,1,4,3,0,2,4,Adoption
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
2,Dachshund,Dog,2,2,4,2,3,0,2,3,Adoption
2,Dachshund,Dog,2,2,4,2,3,1,2,3,Transfer
4,Domestic,Cat,3,4,2,1,4,0,2,1,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,0,3,1,Adoption
3,'Blue Lacy',Dog,3,1,4,1,3,0,1,3,Adoption
4,'Rat Terrier',Dog,5,1,1,2,3,0,1,3,Transfer
2,Dachshund,Dog,2,2,4,2,3,0,3,3,Return_to_owner
2,'Pit Bull',Dog,2,1,3,2,1,0,3,2,Transfer
2,'Pit Bull',Dog,2,1,3,2,1,0,3,2,Adoption
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
2,Dachshund,Dog,2,2,4,2,3,1,1,3,Transfer
4,Domestic,Cat,3,4,2,1,4,1,2,1,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
4,Chihuahua,Dog,1,1,5,3,1,0,4,4,Transfer
4,Domestic,Cat,3,4,2,1,4,0,4,1,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
3,'Border Collie',Dog,5,3,4,3,3,0,2,3,Adoption
1,'Labrador Retriever',Dog,5,2,1,4,3,1,2,4,Adoption
4,Maltese,Dog,4,3,5,3,1,0,4,3,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
1,'Labrador Retriever',Dog,5,2,1,4,3,0,2,4,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Chihuahua,Dog,1,1,5,3,1,0,2,4,Adoption
1,'Labrador Retriever',Dog,5,2,1,4,3,0,3,4,Adoption
4,Domestic,Cat,3,4,2,1,4,0,2,1,Transfer
2,Dachshund,Dog,2,2,4,2,3,0,1,3,Adoption
4,Domestic,Cat,3,4,2,1,4,0,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,1,1,1,Adoption
2,'Plott Hound',Dog,4,1,3,2,1,0,1,1,Adoption
4,Chihuahua,Dog,1,1,5,3,1,0,4,4,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
2,'Siberian Husky',Dog,4,3,2,4,4,0,4,3,Return_to_owner
3,'Australian Cattle Dog',Dog,5,1,2,2,3,0,3,3,Transfer
3,Pointer,Dog,5,1,3,2,1,0,2,1,Return_to_owner
2,'Pit Bull',Dog,2,1,3,2,1,0,3,2,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,1,2,1,Transfer
3,'Yorkshire Terrier',Dog,1,5,5,3,1,0,3,4,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
1,'German Shepherd',Dog,5,2,3,4,5,0,4,4,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
2,Catahoula,Dog,3,1,2,1,3,0,4,4,Transfer
4,'Toy Poodle',Dog,2,5,3,4,1,0,2,3,Adoption
3,'Jack Russell Terrier',Dog,4,2,5,3,5,0,3,3,Adoption
4,Domestic,Cat,3,4,2,1,4,0,2,1,Adoption
3,'Australian Cattle Dog',Dog,5,1,2,2,3,0,1,3,Adoption
4,Domestic,Cat,3,4,2,1,4,0,2,1,Transfer
2,Catahoula,Dog,3,1,2,1,3,0,2,4,Adoption
1,'Labrador Retriever',Dog,5,2,1,4,3,0,2,4,Adoption
1,'Labrador Retriever',Dog,5,2,1,4,3,0,1,4,Adoption
4,Chihuahua,Dog,1,1,5,3,1,1,4,4,Return_to_owner
2,'Pit Bull',Dog,2,1,3,2,1,0,3,2,Return_to_owner
2,Dachshund,Dog,2,2,4,2,3,0,4,3,Adoption
4,Domestic,Cat,3,4,2,1,4,0,2,1,Euthanasia
1,'German Shepherd',Dog,5,2,3,4,5,0,3,4,Adoption
1,'Labrador Retriever',Dog,5,2,1,4,3,0,4,4,Adoption
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
1,'Doberman Pinscher',Dog,3,2,2,4,3,0,2,4,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,0,2,1,Transfer
4,Domestic,Cat,3,4,2,1,4,1,2,1,Transfer
3,Pointer,Dog,5,1,3,2,1,1,1,1,Transfer
2,Dachshund,Dog,2,2,4,2,3,0,2,3,Adoption
4,'Toy Poodle',Dog,2,5,3,4,1,0,3,3,Adoption
3,Whippet,Dog,4,1,1,4,3,0,3,3,Adoption
3,'Australian Shepherd',Dog,5,3,2,3,3,1,3,3,Return_to_owner
1,'Labrador Retriever',Dog,5,2,1,4,3,0,3,4,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
2,'Pit Bull',Dog,2,1,3,2,1,0,2,2,Transfer
4,Domestic,Cat,3,4,2,1,4,1,3,1,Transfer
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Chihuahua,Dog,1,1,5,3,1,0,4,4,Transfer
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,1,1,1,Adoption
4,'Rat Terrier',Dog,5,1,1,2,3,0,2,3,Transfer
3,Pointer,Dog,5,1,3,2,1,0,1,1,Adoption
2,'Miniature Schnauzer',Dog,4,4,3,3,1,0,2,3,Adoption
3,'Cairn Terrier',Dog,4,3,5,3,3,0,3,2,Adoption
1,'Labrador Retriever',Dog,5,2,1,4,3,0,4,4,Euthanasia
4,Domestic,Cat,3,4,2,1,4,0,3,1,Return_to_owner
1,'Great Dane',Dog,4,1,2,4,3,0,4,4,Transfer
4,Chihuahua,Dog,1,1,5,3,1,1,3,4,Return_to_owner
1,'Chesapeake Bay Retriever',Dog,4,2,3,3,3,0,3,3,Return_to_owner
1,'German Shepherd',Dog,5,2,3,4,5,0,4,4,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,1,2,1,Transfer
4,Domestic,Cat,3,4,2,1,4,0,4,1,Adoption
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
4,Chihuahua,Dog,1,1,5,3,1,0,2,4,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
2,'Plott Hound',Dog,4,1,3,2,1,0,4,1,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Chihuahua,Dog,1,1,5,3,1,0,3,4,Adoption
3,Siamese,Cat,4,3,5,2,3,0,4,1,Adoption
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
2,'Chow Chow',Dog,2,5,3,3,4,0,3,3,Adoption
4,Domestic,Cat,3,4,2,1,4,1,3,1,Transfer
3,Pointer,Dog,5,1,3,2,1,0,4,1,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Euthanasia
2,'Pit Bull',Dog,2,1,3,2,1,0,3,2,Return_to_owner
1,Boxer,Dog,4,1,2,4,1,1,2,3,Return_to_owner
3,'Basset Hound',Dog,5,2,3,2,3,0,4,3,Transfer
1,'Labrador Retriever',Dog,5,2,1,4,3,0,3,4,Return_to_owner
1,'Airedale Terrier',Dog,4,5,2,3,2,0,4,2,Transfer
1,'Labrador Retriever',Dog,5,2,1,4,3,0,2,4,Adoption
4,Domestic,Cat,3,4,2,1,4,0,1,1,Transfer
3,Beagle,Dog,5,1,5,3,3,0,1,3,Adoption
2,Manx,Cat,4,3,3,1,3,0,1,1,Adoption
4,Domestic,Cat,3,4,2,1,4,1,3,1,Transfer
4,Chihuahua,Dog,1,1,5,3,1,0,4,4,Transfer
2,'Pit Bull',Dog,2,1,3,2,1,0,2,2,Adoption
1,'Flat-Coated Retriever',Dog,4,1,3,4,3,0,3,5,Adoption
3,'American Cocker Spaniel',Dog,5,5,4,3,3,0,2,4,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
4,Chihuahua,Dog,1,1,5,3,1,0,2,4,Adoption
4,Domestic,Cat,3,4,2,1,4,0,3,1,Adoption
4,'Rat Terrier',Dog,5,1,1,2,3,0,4,3,Return_to_owner
3,'Border Terrier',Dog,5,3,4,4,1,0,2,2,Adoption
2,'Pit Bull',Dog,2,1,3,2,1,0,4,2,Transfer
4,Chihuahua,Dog,1,1,5,3,1,0,4,4,Return_to_owner
2,'Pit Bull',Dog,2,1,3,2,1,0,4,2,Euthanasia
4,Chihuahua,Dog,1,1,5,3,1,0,2,4,Adoption
3,'Jack Russell Terrier',Dog,4,2,5,3,5,0,2,3,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,1,2,1,Transfer
1,'German Shepherd',Dog,5,2,3,4,5,0,4,4,Return_to_owner
1,Rottweiler,Dog,2,1,1,4,1,0,3,3,Return_to_owner
2,'Siberian Husky',Dog,4,3,2,4,4,0,1,3,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
2,'Cardigan Welsh Corgi',Dog,5,3,4,4,4,0,2,2,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,0,4,1,Transfer
4,Chihuahua,Dog,1,1,5,3,1,0,2,4,Adoption
3,'Cairn Terrier',Dog,4,3,5,3,3,1,2,2,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
4,Domestic,Cat,3,4,2,1,4,0,1,1,Return_to_owner
4,Chihuahua,Dog,1,1,5,3,1,1,2,4,Return_to_owner
1,'Labrador Retriever',Dog,5,2,1,4,3,0,4,4,Return_to_owner
2,'Shih Tzu',Dog,2,5,3,4,1,0,3,3,Adoption
2,'Plott Hound',Dog,4,1,3,2,1,0,2,1,Transfer
3,'Australian Shepherd',Dog,5,3,2,3,3,0,1,3,Adoption
4,Chihuahua,Dog,1,1,5,3,1,0,3,4,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
1,'Labrador Retriever',Dog,5,2,1,4,3,0,2,4,Adoption
3,Siamese,Cat,4,3,5,2,3,1,1,1,Euthanasia
4,Chihuahua,Dog,1,1,5,3,1,0,4,4,Euthanasia
4,Domestic,Cat,3,4,2,1,4,0,4,1,Adoption
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
3,'Australian Cattle Dog',Dog,5,1,2,2,3,0,1,3,Adoption
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
1,'Labrador Retriever',Dog,5,2,1,4,3,1,3,4,Euthanasia
2,Dachshund,Dog,2,2,4,2,3,0,4,3,Return_to_owner
1,Boxer,Dog,4,1,2,4,1,0,1,3,Transfer
1,'Labrador Retriever',Dog,5,2,1,4,3,0,2,4,Transfer
2,'Shih Tzu',Dog,2,5,3,4,1,0,4,3,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
2,'Pit Bull',Dog,2,1,3,2,1,0,3,2,Transfer
3,'Australian Cattle Dog',Dog,5,1,2,2,3,0,1,3,Adoption
4,Domestic,Cat,3,4,2,1,4,0,2,1,Adoption
4,Domestic,Cat,3,4,2,1,4,0,4,1,Adoption
4,Domestic,Cat,3,4,2,1,4,0,3,1,Return_to_owner
4,Chihuahua,Dog,1,1,5,3,1,0,3,4,Adoption
3,'Australian Cattle Dog',Dog,5,1,2,2,3,1,1,3,Transfer
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
1,'German Shepherd',Dog,5,2,3,4,5,0,4,4,Adoption
4,Domestic,Cat,3,4,2,1,4,0,4,1,Transfer
3,Pointer,Dog,5,1,3,2,1,0,3,1,Adoption
4,Domestic,Cat,3,4,2,1,4,1,2,1,Transfer
4,'Toy Poodle',Dog,2,5,3,4,1,0,3,3,Transfer
3,'Collie Smooth',Dog,5,3,4,3,5,0,2,2,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,1,2,1,Transfer
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
3,'American Cocker Spaniel',Dog,5,5,4,3,3,0,2,4,Adoption
4,Chihuahua,Dog,1,1,5,3,1,0,4,4,Return_to_owner
1,'Labrador Retriever',Dog,5,2,1,4,3,0,2,4,Adoption
3,Siamese,Cat,4,3,5,2,3,1,1,1,Transfer
1,Rottweiler,Dog,2,1,1,4,1,0,2,3,Adoption
4,Chihuahua,Dog,1,1,5,3,1,0,2,4,Adoption
1,Boxer,Dog,4,1,2,4,1,0,1,3,Adoption
4,Chihuahua,Dog,1,1,5,3,1,0,3,4,Adoption
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
4,Domestic,Cat,3,4,2,1,4,0,2,1,Return_to_owner
4,'Rat Terrier',Dog,5,1,1,2,3,0,4,3,Transfer
1,'German Shepherd',Dog,5,2,3,4,5,0,1,4,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
2,Dachshund,Dog,2,2,4,2,3,1,4,3,Transfer
3,'Border Collie',Dog,5,3,4,3,3,0,1,3,Adoption
4,Domestic,Cat,3,4,2,1,4,1,2,1,Transfer
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,1,1,1,Adoption
2,'Pit Bull',Dog,2,1,3,2,1,1,3,2,Return_to_owner
3,'Collie Smooth',Dog,5,3,4,3,5,0,1,2,Adoption
4,Domestic,Cat,3,4,2,1,4,1,2,1,Transfer
3,Siamese,Cat,4,3,5,2,3,0,1,1,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
2,'Plott Hound',Dog,4,1,3,2,1,0,4,1,Adoption
2,'Pit Bull',Dog,2,1,3,2,1,0,3,2,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
4,Chihuahua,Dog,1,1,5,3,1,0,1,4,Adoption
3,Pointer,Dog,5,1,3,2,1,0,3,1,Transfer
2,'Anatol Shepherd',Dog,4,2,4,3,5,0,1,4,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
2,'Anatol Shepherd',Dog,4,2,4,3,5,0,2,4,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,0,2,1,Adoption
2,'Pit Bull',Dog,2,1,3,2,1,0,3,2,Adoption
1,'Great Dane',Dog,4,1,2,4,3,0,4,4,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
4,Domestic,Cat,3,4,2,1,4,0,2,1,Euthanasia
3,'Australian Cattle Dog',Dog,5,1,2,2,3,1,3,3,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Transfer
1,Shar-Pei,Dog,1,2,1,4,1,0,3,5,Adoption
1,'Labrador Retriever',Dog,5,2,1,4,3,1,2,4,Return_to_owner
1,'Flat-Coated Retriever',Dog,4,1,3,4,3,0,2,5,Adoption
1,'Labrador Retriever',Dog,5,2,1,4,3,0,3,4,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
4,'Rat Terrier',Dog,5,1,1,2,3,0,2,3,Return_to_owner
4,Domestic,Cat,3,4,2,1,4,0,1,1,Adoption
1,Akita,Dog,4,2,1,4,5,0,3,3,Euthanasia
2,'American Bulldog',Dog,2,3,4,3,3,0,4,3,Return_to_owner
1,'Labrador Retriever',Dog,5,2,1,4,3,0,1,4,Transfer
4,Domestic,Cat,3,4,2,1,4,0,2,1,Adoption
4,Chihuahua,Dog,1,1,5,3,1,0,4,4,Return_to_owner
3,Pointer,Dog,5,1,3,2,1,0,3,1,Adoption
4,Chihuahua,Dog,1,1,5,3,1,0,4,4,Adoption
3,Siamese,Cat,4,3,5,2,3,0,2,1,Adoption
4,Domestic,Cat,3,4,2,1,4,0,2,1,Adoption
1,'Labrador Retriever',Dog,5,2,1,4,3,1,2,4,Transfer
4,Domestic,Cat,3,4,2,1,4,0,1,1,Transfer
4,Chihuahua,Dog,1,1,5,3,1,0,3,4,Transfer
1,Rottweiler,Dog,2,1,1,4,1,1,3,3,Euthanasia
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
1,'Labrador Retriever',Dog,5,2,1,4,3,0,3,4,Transfer
1,Boxer,Dog,4,1,2,4,1,0,2,3,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
3,'Jack Russell Terrier',Dog,4,2,5,3,5,0,3,3,Adoption
2,'Pit Bull',Dog,2,1,3,2,1,1,2,2,Return_to_owner
1,'Labrador Retriever',Dog,5,2,1,4,3,0,3,4,Adoption
4,Domestic,Cat,3,4,2,1,4,1,1,1,Euthanasia
1,'Bernese Mountain Dog',Dog,4,3,3,4,4,0,3,5,Adoption
4,Domestic,Cat,3,4,2,1,4,0,3,1,Transfer
2,'Plott Hound',Dog,4,1,3,2,1,0,1,1,Transfer
1,Bulldog,Dog,5,2,1,4,3,1,3,5,Return_to_owner
2,'Pit Bull',Dog,2,1,3,2,1,0,2,2,Transfer
4,Domestic,Cat,3,4,2,1,4,1,1,1,Transfer
4,Chihuahua,Dog,1,1,5,3,1,0,2,4,Adoption
1,'Labrador Retriever',Dog,5,2,1,4,3,0,1,4,Transfer
4,Chihuahua,Dog,1,1,5,3,1,0,4,4,Return_to_owner
2,'Pit Bull',Dog,2,1,3,2,1,0,3,2,Adoption
3,Pointer,Dog,5,1,3,2,1,0,2,1,Adoption
4,Chihuahua,Dog,1,1,5,3,1,0,1,4,Adoption
1,'Labrador Retriever',Dog,5,2,1,4,3,0,1,4,Adoption
3,'Yorkshire Terrier',Dog,1,5,5,3,1,1,2,4,Transfer
2,'Pit Bull',Dog,2,1,3,2,1,0,3,2,Adoption
1,'Labrador Retriever',Dog,5,2,1,4,3,0,3,4,Return_to_owner
