Puppy Price,Barking Tendencies,Name,Health Issues,Hypoallergenic,Litter Size,Cat Friendly,Exercise Needs,Grooming,Shedding Level,Size,Child Friendly,Watchdog Ability,Dog Friendly,Stranger Friendly,Other Names,Intelligence,Trainability,Breed_definition,Adaptability,Lifespan,Apartment Friendly,Playfulness
Average $600 - $800 USD,4 stars,American Cocker Spaniel,4 stars,No,4-7 puppies,4 stars,4 stars,5 stars,3 stars,Medium,5 stars,3 stars,4 stars,5 stars,"Cocker Spaniel, Cocker, Merry Cocker",5 stars,5 stars,Purebred,5 stars,12-15 years,5 stars,4 stars
Average $800 - $1000 USD,3 stars,Bernese Mountain Dog,5 stars,No,"1-14 puppies, average 8",3 stars,3 stars,3 stars,4 stars,Large,4 stars,5 stars,3 stars,3 stars,"Berner Sennenhund, Bernese Cattle Dog, Berner",5 stars,5 stars,Purebred,3 stars,7-9 years,3 stars,3 stars
Average $600 - $800 USD,5 stars,Chihuahua,4 stars,No,2-4 puppies,5 stars,1 stars,1 stars,1 stars,Small,1 stars,3 stars,3 stars,3 stars,None,3 stars,2 stars,Purebred,5 stars,14-18 years,5 stars,3 stars
Average $700 - $800 USD,3 stars,English Springer Spaniel,4 stars,No,4-10 puppies,3 stars,5 stars,4 stars,2 stars,Medium,3 stars,3 stars,5 stars,5 stars,Springer Spaniel,5 stars,5 stars,Purebred,5 stars,10-14 years,5 stars,5 stars
Average $1200 - $1500 USD,2 stars,English Mastiff,4 stars,No,3-5 puppies,5 stars,2 stars,2 stars,1 stars,Giant,5 stars,5 stars,3 stars,3 stars,"English Mastiff, Old English Mastiff",3 stars,3 stars,Purebred,5 stars,10-12 years,3 stars,2 stars
Average $700 - $800 USD,3 stars,French Brittany,3 stars,No,5-8 puppies,3 stars,5 stars,2 stars,2 stars,Medium,5 stars,3 stars,5 stars,5 stars,"Epagneul Breton, Brittany Spaniel, American Brittany, Brittany Wiegref",1 stars,5 stars,Purebred,5 stars,12-13 years,3 stars,5 stars
Average $400 - $600 USD,3 stars,Collie,4 stars,No,4-8 puppies,5 stars,5 stars,5 stars,5 stars,Large,5 stars,5 stars,5 stars,3 stars,"Rough Collie, Scottish Collie, Long-Haired Collie, English Collie, Lassie Dog",5 stars,5 stars,Purebred,4 stars,14-16 years,1 stars,3 stars
Average $900 - $1200 USD,2 stars,Rhodesian Ridgeback,3 stars,No,6-8 puppies,2 stars,4 stars,1 stars,1 stars,Large,5 stars,3 stars,2 stars,2 stars,"African Lion Dog, African Lion Hound",4 stars,4 stars,Purebred,4 stars,10-12 years,3 stars,4 stars
Average $300 - $500 USD,3 stars,Basset Hound,3 stars,No,6-8 puppies,5 stars,3 stars,2 stars,3 stars,Medium,5 stars,1 stars,5 stars,5 stars,"Basset, Hush Puppy",3 stars,3 stars,Purebred,5 stars,12-15 years,1 stars,3 stars
Average $600 - $800 USD,4 stars,Border Collie,3 stars,No,4-8 puppies,3 stars,5 stars,3 stars,3 stars,Medium,5 stars,5 stars,3 stars,3 stars,"Scotch Sheep Dog, Sheepdog",5 stars,5 stars,Purebred,5 stars,12-15 years,2 stars,5 stars
Average $1500 - $2000 USD,2 stars,Newfoundland,5 stars,No,4-12 puppies,5 stars,3 stars,3 stars,5 stars,Large,5 stars,5 stars,4 stars,4 stars,"Newf, Newfie, The Gentle Giant, Blackbear",4 stars,4 stars,Purebred,4 stars,9-12 years,3 stars,3 stars
Average $1500 - $2000 USD,1 stars,Cane Corso,4 stars,No,4-6 puppies,1 stars,3 stars,1 stars,3 stars,Large,3 stars,5 stars,3 stars,1 stars,"Cane Corz, Italian Mastiff, Cane Di Macellaio",2 stars,4 stars,Purebred,2 stars,10-11 years,2 stars,3 stars
Average $600 - $800 USD,4 stars,Weimaraner,1 stars,No,6-8 puppies,4 stars,5 stars,1 stars,3 stars,Medium,2 stars,3 stars,4 stars,4 stars,"Weimaraner Vorstehhund, Weim, Grey Ghost",5 stars,5 stars,Purebred,5 stars,10-12 years,1 stars,4 stars
Average $300 - $500 USD,4 stars,Pug,5 stars,No,2-4 puppies,5 stars,1 stars,1 stars,4 stars,Small,4 stars,2 stars,5 stars,5 stars,"Chinese Pug, Dutch Bulldog, Dutch Mastiff, Mini Mastiff, Mops, Carlin",4 stars,1 stars,Purebred,5 stars,12-15 years,5 stars,3 stars
Average $800 - $1200 USD,2 stars,Vizsla,3 stars,No,6-8 puppies,3 stars,5 stars,1 stars,2 stars,Medium,4 stars,3 stars,3 stars,3 stars,"Hungarian Vizsla, Magyar Vizsla, Hungarian Pointer, Drotszoru Magyar Vizsla",5 stars,5 stars,Purebred,5 stars,10-14 years,5 stars,5 stars
Average $800 - $1000 USD,2 stars,Shiba Inu,3 stars,No,2-4 puppies,2 stars,3 stars,2 stars,4 stars,Medium,3 stars,4 stars,3 stars,2 stars,"Brushwood Dog, Japanese Small-Size Dog, Japanese Shiba Inu, Shiba Ken, Shiba",2 stars,4 stars,Purebred,4 stars,12-15 years,5 stars,3 stars
Average $700 - $1000 USD,3 stars,Bichon Frise,3 stars,Yes,2-5 puppies,5 stars,2 stars,5 stars,1 stars,Small,4 stars,3 stars,5 stars,5 stars,"Tenerife Dog, Bichon Tenerife, Bichon A Poil Frise, Bichon Tenerife, Purebred Bichon",4 stars,3 stars,Purebred,5 stars,12-15 years,5 stars,4 stars
Average $1200 - $1500 USD,1 stars,Bullmastiff,5 stars,No,"4-13 puppies, average 8",1 stars,2 stars,2 stars,1 stars,Large,4 stars,5 stars,1 stars,3 stars,"Bully, Bullie",3 stars,3 stars,Purebred,3 stars,8-10 years,3 stars,2 stars
Average $700 - $900 USD,3 stars,Chesapeake Bay Retriever,3 stars,No,7-9 puppies,3 stars,5 stars,2 stars,3 stars,Large,4 stars,3 stars,2 stars,2 stars,"Chessie, CBR, Chesapeake",5 stars,4 stars,Purebred,3 stars,10-13 years,1 stars,4 stars
Average $900 - $1200 USD,5 stars,West Highland White Terrier,5 stars,Yes,2-5 puppies,3 stars,4 stars,4 stars,1 stars,Small,4 stars,3 stars,4 stars,4 stars,"Poltalloch Terrier, Roseneath Terrier, White Roseneath Terrier, Westie (or Westy)",4 stars,4 stars,Purebred,4 stars,12-16 years,3 stars,5 stars
Average $2500 - $2800 USD,2 stars,Portuguese Water Dog,3 stars,Yes,4-8 puppies,4 stars,4 stars,5 stars,1 stars,Medium,4 stars,4 stars,4 stars,3 stars,"Portie, PWD, Water Dog, Cao De Agua",2 stars,3 stars,Purebred,5 stars,10-14 years,4 stars,4 stars
Average $600 - $800 USD,5 stars,Belgian Malinois,3 stars,No,6-10 puppies,2 stars,5 stars,1 stars,3 stars,Medium,4 stars,5 stars,2 stars,2 stars,"Malinois, Chien De Berger Belge, Mechelaar, Mechelse Herder, Mechelse Scheper, Pastor Belga Malinois",2 stars,5 stars,Purebred,5 stars,12-14 years,2 stars,5 stars
Average $1500 - $1800 USD,1 stars,St. Bernard,5 stars,No,6-8 puppies,5 stars,2 stars,3 stars,3 stars,Giant,4 stars,3 stars,5 stars,3 stars,"St. Hubert Hound, Chien St. Hubert, Sleuth Hound",3 stars,2 stars,Purebred,4 stars,8-10 years,3 stars,2 stars
Average $800 - $1200 USD,5 stars,Bloodhound,5 stars,No,8-10 puppies,5 stars,5 stars,2 stars,3 stars,Large,5 stars,3 stars,5 stars,3 stars,"St. Hubert Hound, Chien St. Hubert, Sleuth Hound",3 stars,2 stars,Purebred,3 stars,8-10 years,1 stars,4 stars
Average $400 - $600 USD,5 stars,Papillon,3 stars,No,2-4 puppies,5 stars,5 stars,3 stars,1 stars,Small,4 stars,3 stars,2 stars,5 stars,"Butterfly Dog, Squirrel Dog, Phalène, Epagneul Nain, Phalène (Drop Ear Type), Continental Toy Spaniel, Epagneul Nain Continental",5 stars,4 stars,Purebred,5 stars,13-16 years,3 stars,5 stars
Average $800 - $1000 USD,3 stars,Soft Coated Wheaten Terrier,3 stars,Yes,5-8 puppies,1 stars,4 stars,5 stars,2 stars,Medium,4 stars,4 stars,4 stars,4 stars,"Wheaten, Wheatie, Irish Soft-Coated Wheaten Terrier",4 stars,4 stars,Purebred,5 stars,12-15 years,4 stars,5 stars
Average $800 - $1200 USD,1 stars,Whippet,3 stars,No,4-8 puppies,1 stars,3 stars,1 stars,3 stars,Medium,4 stars,3 stars,3 stars,3 stars,"English Whippet, Snap Dog",4 stars,3 stars,Purebred,5 stars,12-15 years,5 stars,3 stars
Average $500 - $700 USD,2 stars,Australian Cattle Dog,3 stars,No,"1-7 puppies, average 5",3 stars,5 stars,1 stars,3 stars,Medium,5 stars,5 stars,3 stars,2 stars,"Queensland Heeler, Blue Heeler, Hall's Heeler, ACD, Cattle Dog, Red Heeler",5 stars,5 stars,Purebred,3 stars,12-15 years,1 stars,5 stars
Average $800 - $1200 USD,1 stars,Akita,3 stars,No,3-12 puppies,3 stars,4 stars,2 stars,5 stars,Large,4 stars,4 stars,3 stars,2 stars,"Great Japanese Dog, Japanese Akita, American Akita",4 stars,4 stars,Purebred,5 stars,10-12 years,5 stars,3 stars
Average $1200 - $1500 USD,2 stars,Bull Terrier,5 stars,No,"1-9 puppies, average 5",2 stars,4 stars,1 stars,3 stars,Medium,4 stars,5 stars,2 stars,4 stars,"English Bull Terrier, Bully, Gladiator",3 stars,2 stars,Purebred,4 stars,10-12 years,3 stars,5 stars
Average $900 - $1200 USD,3 stars,English Cocker Spaniel,3 stars,No,6-8 puppies,4 stars,4 stars,3 stars,3 stars,Medium,5 stars,4 stars,5 stars,3 stars,"Cocker, Merry Cocker Woker",5 stars,5 stars,Purebred,5 stars,12-14 years,5 stars,4 stars
Average $1000 - $1200 USD,1 stars,Shar-Pei,5 stars,No,4-6 puppies,3 stars,2 stars,2 stars,1 stars,Medium,1 stars,3 stars,2 stars,1 stars,Chinese Fighting Dog,4 stars,3 stars,Purebred,3 stars,8-10 years,4 stars,3 stars
Average $800 - $1000 USD,1 stars,Scottish Terrier,4 stars,Yes,2-5 puppies,3 stars,3 stars,3 stars,1 stars,Small,4 stars,3 stars,2 stars,3 stars,"Scottie, Aberdeenie",4 stars,2 stars,Purebred,3 stars,11-13 years,5 stars,3 stars
Average $1200 - $1500 USD,1 stars,Alaskan Malamute,3 stars,No,4-10 puppies,1 stars,4 stars,3 stars,5 stars,Large,4 stars,5 stars,1 stars,4 stars,"Mal, Mally",4 stars,4 stars,Purebred,3 stars,10-12 years,1 stars,4 stars
Average $400 - $600 USD,5 stars,Miniature Pinscher,2 stars,No,2-5 puppies,3 stars,2 stars,1 stars,3 stars,Small,4 stars,3 stars,2 stars,2 stars,"Min Pin, King Of The Toys, Reh Pinscher, Zwergpinsc",4 stars,4 stars,Purebred,5 stars,12-15 years,4 stars,5 stars
Average $1000 - $1300 USD,2 stars,Dogue de Bordeaux,5 stars,No,4-6 puppies,4 stars,2 stars,2 stars,3 stars,Large,4 stars,5 stars,4 stars,4 stars,"French Mastiff, Bordeaux Mastiff, Bordeauxdog",2 stars,4 stars,Purebred,3 stars,10-12 years,1 stars,2 stars
Average $600 - $800 USD,3 stars,Wirehaired Pointing Griffon,2 stars,Yes,6-9 puppies,3 stars,4 stars,3 stars,1 stars,Medium,4 stars,5 stars,4 stars,3 stars,"Korthals Griffon, Griffon D'arrêt à Poil Dur, Korthals",4 stars,4 stars,Purebred,3 stars,12-14 years,2 stars,4 stars
Average $1200 - $1500 USD,3 stars,Samoyed,3 stars,Yes,4-6 puppies,3 stars,4 stars,3 stars,4 stars,Medium,5 stars,4 stars,4 stars,3 stars,"Samoyedskaya, Bjelkier, Samoiedskaya Sobaka, Nenetskaya Laika, Smiley, Sammy",4 stars,3 stars,Purebred,4 stars,12-14 years,3 stars,4 stars
Average $600 - $800 USD,2 stars,Airedale Terrier,2 stars,Yes,7-9 puppies,1 stars,4 stars,5 stars,2 stars,Medium,4 stars,4 stars,1 stars,2 stars,"Waterside Terrier, Bingley Terrier, Irish Red Terrier",5 stars,3 stars,Purebred,5 stars,10-13 years,3 stars,5 stars
Average $700 - $900 USD,2 stars,Dalmatian,4 stars,No,6-9 puppies,3 stars,5 stars,1 stars,5 stars,Large,5 stars,3 stars,5 stars,3 stars,"Dal, Dally, Carriage Dog, Spotted Coach Dog, Firehouse Dog, Plum Pudding Dog",4 stars,4 stars,Purebred,5 stars,12-14 years,1 stars,5 stars
Average $500 - $700 USD,5 stars,Lhasa Apso,2 stars,No,4-6 puppies,5 stars,2 stars,5 stars,4 stars,Small,5 stars,3 stars,5 stars,3 stars,"Lhasa, Lion Dog",3 stars,2 stars,Purebred,5 stars,12-15 years,5 stars,4 stars
Average $1200 - $1500 USD,5 stars,Old English Sheepdog,3 stars,No,5-8 puppies,3 stars,3 stars,5 stars,5 stars,Large,5 stars,4 stars,3 stars,2 stars,OES,3 stars,2 stars,Purebred,3 stars,10-12 years,1 stars,3 stars
Average $600 - $800 USD,3 stars,Chow Chow,3 stars,No,3-6 puppies,2 stars,2 stars,5 stars,4 stars,Medium,2 stars,3 stars,1 stars,1 stars,Chow,3 stars,2 stars,Purebred,2 stars,12-14 years,3 stars,2 stars
Average $2000 - $2500 USD,2 stars,Greater Swiss Mountain Dog,3 stars,No,5-10 puppies,3 stars,3 stars,1 stars,1 stars,Large,4 stars,4 stars,4 stars,3 stars,"Great Swiss Mountain Dog, Swissy",2 stars,2 stars,Purebred,3 stars,10-12 years,2 stars,4 stars
Average $800 - $1000 USD,1 stars,Irish Setter,3 stars,No,7-10 puppies,5 stars,5 stars,4 stars,3 stars,Large,5 stars,3 stars,5 stars,5 stars,"Red Setter, Irish Red Setter",4 stars,4 stars,Purebred,5 stars,12-14 years,1 stars,5 stars
Average $800 - $1000 USD,3 stars,Italian Greyhound,3 stars,Yes,2-4 puppies,3 stars,3 stars,1 stars,1 stars,Small,1 stars,3 stars,3 stars,3 stars,"French: Petit Levrier Italiane, Italian: Piccolo Levriero Italiano, German: Italienisches Windspiel, Spanish: Galgo Italiano",3 stars,2 stars,Purebred,5 stars,12-15 years,3 stars,2 stars
Average $700 - $1000 USD,5 stars,Cairn Terrier,2 stars,Yes,2-10 puppies,3 stars,4 stars,3 stars,3 stars,Small,4 stars,3 stars,3 stars,3 stars,"Cairn, Toto Dog",4 stars,4 stars,Purebred,3 stars,12-15 years,3 stars,4 stars
Average $1800 - $2000 USD,2 stars,Irish Wolfhound,5 stars,No,3-4 puppies,3 stars,3 stars,3 stars,3 stars,Giant,4 stars,3 stars,5 stars,3 stars,Cú Faoil,4 stars,4 stars,Purebred,4 stars,6-10 years,2 stars,3 stars
Average $1000 - $1200 USD,4 stars,Cardigan Welsh Corgi,2 stars,No,4-6 puppies,5 stars,4 stars,3 stars,4 stars,Medium,5 stars,3 stars,3 stars,3 stars,"Cardigan, CWC, Cardi",5 stars,5 stars,Purebred,5 stars,12-14 years,5 stars,4 stars
Average $800 - $1000 USD,2 stars,American Staffordshire Terrier,3 stars,No,5-10 puppies,1 stars,3 stars,1 stars,1 stars,Medium,4 stars,3 stars,1 stars,3 stars,"Amstaff, Stafford, Staffy",4 stars,4 stars,Purebred,3 stars,12-14 years,2 stars,4 stars
Average $1500 - $2000 USD,1 stars,Staffordshire Bull Terrier,3 stars,No,5-7 puppies,2 stars,4 stars,1 stars,1 stars,Medium,4 stars,3 stars,1 stars,4 stars,"Staffy, Staff, SBT, Stafford, Staffy Bull",4 stars,4 stars,Purebred,3 stars,12-14 years,3 stars,3 stars
Average $600 - $800 USD,4 stars,Pekingese,4 stars,No,2-4 puppies,5 stars,1 stars,5 stars,3 stars,Small,1 stars,3 stars,3 stars,3 stars,"Peking Lion Dog, Lion Dog, Chinese Spaniel, Pelchie Dog, Peking Palasthund, Peke",3 stars,2 stars,Purebred,5 stars,13-15 years,5 stars,2 stars
Average $800 - $1000 USD,2 stars,Chinese Crested,3 stars,Yes,2-5 puppies,4 stars,2 stars,3 stars,1 stars,Small,4 stars,2 stars,3 stars,4 stars,"Crested, Puff",3 stars,2 stars,Purebred,3 stars,12-14 years,5 stars,3 stars
Average $700 - $900 USD,3 stars,German Wirehaired Pointer,2 stars,No,6-10 puppies,1 stars,5 stars,3 stars,3 stars,Medium,3 stars,5 stars,5 stars,4 stars,"Deutscher Drahthaariger, Vorstehund, German Pointer (Wirehaired), Drahthaar",4 stars,4 stars,Purebred,5 stars,12-14 years,1 stars,4 stars
Average $700 - $900 USD,5 stars,Great Pyrenees,5 stars,No,6-9 puppies,4 stars,2 stars,3 stars,4 stars,Giant,4 stars,5 stars,3 stars,2 stars,"Great Pyrenees, Patou, Chien Des Pyrénées, Chien De Montagne Des Pyrénées, Montañés Del Pirineo, Gos De Muntanya Dels Pirineus",3 stars,2 stars,Purebred,4 stars,10-12 years,2 stars,2 stars
Average $1000 - $1500 USD,2 stars,Giant Schnauzer,4 stars,Yes,5-8 puppies,2 stars,5 stars,3 stars,1 stars,Large,2 stars,5 stars,1 stars,2 stars,"Russian Bear Schnauzer, Munich Schnauzer, Munchener, Riesenschnauzer",5 stars,4 stars,Purebred,3 stars,10-12 years,1 stars,5 stars
Average $1500 - $2000 USD,3 stars,Bouvier des Flandres,3 stars,Yes,5-10 puppies,3 stars,3 stars,5 stars,3 stars,Large,5 stars,4 stars,3 stars,2 stars,"Belgian Cattle Dog, Flanders Cattle Dog, Vlaamse Koehond",5 stars,4 stars,Purebred,5 stars,10-12 years,1 stars,3 stars
Average $1200 - $1400 USD,4 stars,Border Terrier,2 stars,Yes,2-8 puppies,2 stars,3 stars,3 stars,1 stars,Small,5 stars,3 stars,2 stars,2 stars,"Russian Bear Schnauzer, Munich Schnauzer, Munchener, Riesenschnauzer",5 stars,4 stars,Purebred,5 stars,12-15 years,5 stars,3 stars
Average $1000 - $1200 USD,3 stars,Coton De Tulear,3 stars,Yes,4-6 puppies,5 stars,3 stars,5 stars,1 stars,Small,4 stars,3 stars,4 stars,4 stars,"Coton, Cotie",3 stars,5 stars,Purebred,5 stars,14-16 years,5 stars,4 stars
Average $800 - $1000 USD,5 stars,Keeshond,3 stars,No,3-8 puppies,4 stars,2 stars,4 stars,3 stars,Medium,4 stars,4 stars,4 stars,5 stars,"Dutch Barge Dog, Smiling Dutchman, Chien Loup, German Spitz, Deutscher Wolfsspitz, Wolfsspitz, Kees",5 stars,5 stars,Purebred,5 stars,12-14 years,3 stars,4 stars
Average $1500 - $2000 USD,1 stars,Leonberger,5 stars,No,6-8 puppies,3 stars,4 stars,5 stars,5 stars,Giant,5 stars,5 stars,4 stars,3 stars,"Leo, Gentle Lion, Gentle Giant",2 stars,4 stars,Purebred,3 stars,8-10 years,1 stars,4 stars
Average $1200 - $1500 USD,3 stars,Standard Schnauzer,1 stars,Yes,4-8 puppies,4 stars,4 stars,5 stars,1 stars,Medium,4 stars,4 stars,4 stars,3 stars,"Mittelschnauzer, Schnauzer, Wirehair Pinscher",5 stars,5 stars,Purebred,3 stars,12-15 years,3 stars,5 stars
Average $700 - $900 USD,4 stars,Anatolian Shepherd Dog,4 stars,No,5-10 puppies,2 stars,3 stars,2 stars,5 stars,Large,4 stars,5 stars,1 stars,1 stars,"Coban Kopegi, Karabash Dog, Kara Bas, Kangal Dog, Kham Kepiji Dogs, Scandinavian Nygaard Dogs",2 stars,4 stars,Purebred,2 stars,12-14 years,1 stars,3 stars
Average $1000 - $1200 USD,1 stars,Borzoi,3 stars,No,1-11 puppies,1 stars,3 stars,4 stars,5 stars,Large,2 stars,1 stars,1 stars,2 stars,"Russian Wolfhound, Barzoï, Russkaya Psovaya Borzaya, Psovoi",3 stars,2 stars,Purebred,3 stars,10-12 years,3 stars,3 stars
Average $500 - $700 USD,5 stars,Norwegian Elkhound,3 stars,No,5-10 puppies,3 stars,4 stars,3 stars,4 stars,Medium,4 stars,5 stars,3 stars,3 stars,"Elkhound, Norsk Elghund, Grå Norsk Elghund, Gray Norwegian Elkhound, Small Grey Elk Dog, Norwegian Moose Dog, Harmaa Norjanhirvikoira",4 stars,3 stars,Purebred,5 stars,10-12 years,3 stars,3 stars
